crime_type ,district ,beat_number ,map_reference ,phxcommunity ,domestic
1 ,3 ,115 ,040 ,0 ,1
1 ,3 ,116 ,053 ,0 ,0
1 ,3 ,116 ,053 ,0 ,1
1 ,2 ,117 ,018 ,0 ,0
1 ,2 ,117 ,018 ,0 ,0
1 ,2 ,117 ,064 ,0 ,1
1 ,2 ,117 ,064 ,0 ,1
1 ,2 ,117 ,071 ,0 ,1
1 ,2 ,117 ,071 ,0 ,1
1 ,2 ,117 ,118 ,0 ,0
1 ,3 ,118 ,046 ,1 ,1
1 ,3 ,118 ,046 ,0 ,1
1 ,3 ,118 ,047 ,0 ,1
1 ,3 ,118 ,047 ,0 ,1
1 ,2 ,119 ,074 ,1 ,1
1 ,2 ,119 ,074 ,0 ,0
1 ,1 ,120 ,055 ,0 ,1
1 ,1 ,120 ,057 ,1 ,1
1 ,1 ,120 ,057 ,1 ,1
1 ,1 ,120 ,058 ,0 ,1
1 ,1 ,120 ,059 ,1 ,0
1 ,1 ,120 ,062 ,0 ,1
1 ,1 ,120 ,121 ,0 ,0
1 ,1 ,120 ,121 ,0 ,0
1 ,2 ,121 ,067 ,0 ,0
1 ,2 ,121 ,073 ,0 ,1
1 ,2 ,121 ,073 ,0 ,0
1 ,2 ,121 ,078 ,1 ,0
1 ,2 ,121 ,079 ,0 ,0
1 ,2 ,122 ,015 ,1 ,1
1 ,2 ,122 ,077 ,1 ,1
1 ,2 ,122 ,077 ,1 ,0
1 ,2 ,122 ,081 ,0 ,1
2 ,3 ,118 ,045 ,0 ,0
65,3 ,112 ,083 ,0 ,0
65,1 ,113 ,031 ,0 ,0
65,1 ,114 ,026 ,0 ,0
65,1 ,114 ,036 ,0 ,0
65,1 ,114 ,063 ,0 ,0
65,3 ,116 ,053 ,0 ,0
65,3 ,116 ,053 ,0 ,0
65,2 ,117 ,068 ,0 ,0
65,3 ,118 ,120 ,0 ,0
65,1 ,120 ,059 ,0 ,0
65,2 ,121 ,078 ,0 ,0
104 ,3 ,118 ,047 ,1 ,1
64,1 ,111 ,020 ,0 ,0
63 ,1 ,111 ,021 ,0 ,1
63 ,1 ,111 ,025 ,1 ,1
63 ,1 ,111 ,029 ,0 ,1
63 ,3 ,112 ,083 ,0 ,1
63 ,3 ,112 ,083 ,0 ,1
63 ,1 ,113 ,030 ,1 ,1
63 ,1 ,113 ,032 ,1 ,1
63 ,1 ,114 ,008 ,0 ,0
63 ,1 ,114 ,026 ,0 ,1
63 ,1 ,114 ,026 ,0 ,0
63 ,1 ,114 ,036 ,1 ,1
63 ,1 ,114 ,036 ,0 ,0
63 ,1 ,114 ,036 ,0 ,1
63 ,1 ,114 ,036 ,0 ,1
