ID,"Class"
750,Blankenship
751,Lawyeraau
752,Goonan
753,Chachra
754,Engineer
755,Brody
756,Morrison
757,Harp
758,Brown
759,Neal
760,Chachra
761,Merritt
762,Mahlers2nd
763,Peterson
764,Lawyeraau
765,McKee
766,Neal
767,Brown
768,Walters
769,Chachra
770,Calvinnme
771,Auken
772,Walters
773,McKee
774,Neal
775,Agresti
776,Chachra
777,Nigam
778,Koenig
779,Corn
780,Corn
781,Chachra
782,Chachra
783,Messick
784,Lawyeraau
785,Messick
786,Brown
787,Harp
788,Shea
789,McKee
790,Davisson
791,Calvinnme
792,Morrison
793,Ashbacher
794,Comdet
795,Harp
796,Riley
797,Chandler
798,McKee
799,Chachra
800,Merritt
801,McKee
802,Vernon
803,Robert
804,Chachra
805,Walters
806,Chandler
807,CFH
808,Chachra
809,Engineer
810,Blankenship
811,McKee
812,McKee
813,Sherwin
814,Johnson
815,Lawyeraau
816,Koenig
817,Peterson
818,McKee
819,Walters
820,McKee
821,Harp
822,Mark
823,Blankenship
824,McKee
825,Chachra
826,Kolln
827,Ashbacher
828,Lovitt
829,Kolln
830,Mahlers2nd
831,Kolln
832,Blankenship
833,Walters
834,Brown
835,Engineer
836,Neal
837,Peterson
838,Dent
839,McKee
840,Shea
841,Chachra
842,Peterson
843,Taylor
844,Mahlers2nd
845,Goonan
846,Comdet
847,Peterson
848,Calvinnme
849,Dent
850,Brody
851,Lawyeraau
852,Dent
853,Messick
854,Vernon
855,Lawyeraau
856,Johnson
857,Chachra
858,Chachra
859,Walters
860,Merritt
861,Chell
862,Taylor
863,Chell
864,Vernon
865,Chachra
866,McKee
867,Peterson
868,Lawyeraau
869,Comdet
870,Brody
871,Harp
872,Brown
873,Chachra
874,Brown
875,Lawyeraau
876,Hayes
877,Peterson
878,Bukowsky
879,Bukowsky
880,Comdet
881,Chachra
882,Davisson
883,McKee
884,Goonan
885,Morrison
886,Mark
887,Lawyeraau
888,Goonan
889,Walters
890,Walters
891,Ashbacher
892,Walters
893,Lawyeraau
894,Comdet
895,Lawyeraau
896,Comdet
897,Merritt
898,Corn
899,Engineer
900,Ashbacher
901,Goonan
902,McKee
903,Nigam
904,Goonan
905,Chachra
906,Comdet
907,McKee
908,Robert
909,McKee
910,Davisson
911,McKee
912,McKee
913,Calvinnme
914,Taylor
915,Blankenship
916,Hayes
917,CFH
918,Messick
919,Goonan
920,McKee
921,Chachra
922,Chachra
923,Mahlers2nd
924,Wilson
925,Peterson
926,Messick
927,Lovitt
928,Mitchell
929,Chachra
930,Peterson
931,McKee
932,Lawyeraau
933,Chachra
934,Goonan
935,Brown
936,Bukowsky
937,Harp
938,Ashbacher
939,McKee
940,Neal
941,Lovitt
942,Messick
943,Goonan
944,Lovitt
945,Ashbacher
946,Lee
947,Bukowsky
948,Robert
949,McKee
950,Vernon
951,McKee
952,Power
953,Brown
954,Taylor
955,Comdet
956,Blankenship
957,Brown
958,Lovitt
959,Power
960,Dent
961,Hayes
962,Taylor
963,Messick
964,Brown
965,Robert
966,Goonan
967,Shea
968,Corn
969,Messick
970,Robert
971,McKee
972,Lovitt
973,Chachra
974,McKee
975,Goonan
976,Harp
977,Blankenship
978,Harp
979,Robert
980,Goonan
981,Dent
982,CFH
983,Comdet
984,Neal
985,Mahlers2nd
986,Robert
987,Lawyeraau
988,Brown
989,Corn
990,Robert
991,Wilson
992,McKee
993,Ashbacher
994,Merritt
995,Peterson
996,Lawyeraau
997,Goonan
998,Comdet
999,CFH
1000,Taylor
1001,Blankenship
1002,Hayes
1003,Chachra
1004,Lawyeraau
1005,Calvinnme
1006,Auken
1007,Mark
1008,Corn
1009,Lovitt
1010,Bukowsky
1011,Chachra
1012,Merritt
1013,Lawyeraau
1014,Goonan
1015,Lawyeraau
1016,Harp
1017,Brody
1018,Merritt
1019,CFH
1020,McKee
1021,McKee
1022,Koenig
1023,McKee
1024,Kolln
1025,Chachra
1026,Koenig
1027,Goonan
1028,Wilson
1029,Lee
1030,Shea
1031,Goonan
1032,Mahlers2nd
1033,CFH
1034,McKee
1035,Johnson
1036,Brown
1037,Sherwin
1038,Ashbacher
1039,Hayes
1040,Lovitt
1041,Corn
1042,Auken
1043,Engineer
1044,Engineer
1045,Taylor
1046,Chell
1047,Morrison
1048,Taylor
1049,Neal
1050,Goonan
1051,Engineer
1052,Lawyeraau
1053,Koenig
