ID,"Class"
750,Blankenship
751,Lawyeraau
752,Cholette
753,Dent
754,Engineer
755,Koenig
756,Morrison
757,Harp
758,Shea
759,Comdet
760,Chachra
761,Merritt
762,Mark
763,Taylor
764,Vernon
765,Corn
766,Koenig
767,Mahlers2nd
768,Messick
769,Vernon
770,Calvinnme
771,Auken
772,Lawyeraau
773,Mark
774,Shea
775,Agresti
776,Chachra
777,Agresti
778,CFH
779,Corn
780,Cholette
781,Calvinnme
782,Comdet
783,Corn
784,Lawyeraau
785,CFH
786,Corn
787,Messick
788,Shea
789,Chachra
790,Riley
791,Lawyeraau
792,Brody
793,Ashbacher
794,Blankenship
795,Merritt
796,Riley
797,Chell
798,Shea
799,Grove
800,Auken
801,CFH
802,Harp
803,Ashbacher
804,Nigam
805,Lawyeraau
806,Cholette
807,Mahlers2nd
808,Agresti
809,Engineer
810,Calvinnme
811,Cholette
812,Vision
813,Sherwin
814,Koenig
815,Calvinnme
816,Corn
817,Auken
818,Comdet
819,Taylor
820,Chachra
821,Harp
822,Mark
823,Blankenship
824,Taylor
825,Calvinnme
826,Taylor
827,Corn
828,Vernon
829,Auken
830,Mahlers2nd
831,Auken
832,Ashbacher
833,Grove
834,Cholette
835,Chandler
836,Comdet
837,Harp
838,Dent
839,Dent
840,Comdet
841,Chandler
842,Messick
843,Neal
844,Mahlers2nd
845,Vernon
846,Vernon
847,Peterson
848,Janson
849,Mahlers2nd
850,Brown
851,Lawyeraau
852,Corn
853,Messick
854,Chandler
855,Messick
856,Mahlers2nd
857,Davisson
858,CFH
859,Cholette
860,Merritt
861,Mahlers2nd
862,Taylor
863,Messick
864,Agresti
865,Chachra
866,Chachra
867,Messick
868,Messick
869,Chandler
870,Grove
871,Messick
872,Brody
873,Chandler
874,Dent
875,Messick
876,Lawyeraau
877,Merritt
878,Bukowsky
879,Messick
880,Comdet
881,Davisson
882,Davisson
883,Grove
884,Brody
885,Morrison
886,Mark
887,Vernon
888,Corn
889,Taylor
890,Grove
891,Corn
892,Taylor
893,Vernon
894,Calvinnme
895,Hayes
896,Dent
897,Merritt
898,Riley
899,Agresti
900,Wilson
901,Corn
902,Chachra
903,Mahlers2nd
904,Nigam
905,Kolln
906,Mahlers2nd
907,Shea
908,Bukowsky
909,Shea
910,Mahlers2nd
911,Chachra
912,Grove
913,Corn
914,Taylor
915,Calvinnme
916,Messick
917,CFH
918,Walters
919,Goonan
920,Brown
921,Chachra
922,Calvinnme
923,Mark
924,Kolln
925,Peterson
926,Taylor
927,Lovitt
928,Grove
929,Chachra
930,Vernon
931,Vision
932,Corn
933,Agresti
934,Corn
935,Corn
936,Vernon
937,Harp
938,Corn
939,Riley
940,Koenig
941,Peterson
942,Messick
943,Corn
944,Lovitt
945,Lawyeraau
946,Calvinnme
947,Messick
948,Robert
949,Engineer
950,Messick
951,Calvinnme
952,Power
953,Chandler
954,Taylor
955,Agresti
956,Blankenship
957,Power
958,Lovitt
959,Peterson
960,Mahlers2nd
961,Harp
962,Bukowsky
963,Messick
964,Corn
965,Robert
966,Chandler
967,Shea
968,Corn
969,Janson
970,Harp
971,Chachra
972,Dent
973,Mahlers2nd
974,Brown
975,Nigam
976,Harp
977,Hayes
978,Harp
979,Koenig
980,Corn
981,Lee
982,CFH
983,Comdet
984,Peterson
985,Chandler
986,Merritt
987,Lawyeraau
988,Corn
989,Mahlers2nd
990,Ashbacher
991,Lawyeraau
992,Davisson
993,Wilson
994,Davisson
995,Harp
996,Messick
997,Power
998,Comdet
999,Calvinnme
1000,Taylor
1001,Blankenship
1002,Lawyeraau
1003,Brown
1004,Harp
1005,Calvinnme
1006,Auken
1007,Mark
1008,Chandler
1009,Bukowsky
1010,Vision
1011,Brown
1012,Auken
1013,Lawyeraau
1014,Grove
1015,Messick
1016,Harp
1017,Lovitt
1018,Hayes
1019,CFH
1020,Chachra
1021,Brown
1022,Corn
1023,Grove
1024,Lawyeraau
1025,Lawyeraau
1026,Corn
1027,Lovitt
1028,Lawyeraau
1029,Lee
1030,Chachra
1031,Harp
1032,Cholette
1033,Lee
1034,Ashbacher
1035,Johnson
1036,Corn
1037,Sherwin
1038,Koenig
1039,Merritt
1040,Messick
1041,Mahlers2nd
1042,Auken
1043,Engineer
1044,Agresti
1045,Auken
1046,Cholette
1047,Goonan
1048,Vernon
1049,Neal
1050,Brody
1051,Engineer
